
1,Houston,Downtown,3589,2,1,1974,2,No,15.15,Excellent,5000000,REF-5089
2,Phoenix,Rural,100000,5,3,1979,2,Yes,12.52,Good,348800,REF-1019
3,Chicago,Downtown,84,4,3,1960,2,No,21.12,Fair,100,REF-3090
4,Phoenix,Rural,2647,5,2,1966,3,No,27.17,Fair,458600,REF-1449
5,Phoenix,Urban,,2,3,1975,3,Yes,24.25,Fair,673500,REF-7528
6,Los Angeles,Suburb,3491,4,2,1972,1,Yes,8.6,Good,669500,REF-8682
7,Chicago,Urban,2668,1,2,2005,0,No,26.43,Fair,435600,REF-2271
8,Chicago,Suburb,2107,3,3,2001,1,Yes,25.09,Good,415900,REF-9178
9,Chicago,Suburb,3146,2,2,1997,2,Yes,27.91,Fair,525000,REF-5018
10,Phoenix,Suburb,1721,2,2,1969,1,Yes,14.03,Good,302900,REF-3174
11,Houston,Urban,2881,2,2,1951,3,Yes,23.17,Good,484700,REF-3888
12,Chicago,Suburb,2904,4,2,1980,2,No,17.95,Good,555300,REF-2555
13,Phoenix,Urban,3348,1,3,1976,2,No,9.66,Good,558300,REF-1487
14,Los Angeles,Downtown,,5,1,1951,0,Yes,29.84,Excellent,780000,REF-1753
15,Houston,Rural,2814,1,1,1953,0,No,1.63,Good,464400,REF-5466
16,Los Angeles,Rural,2093,4,2,1962,2,Yes,5.29,Fair,450200,REF-3256
17,Houston,Suburb,2480,2,2,1984,2,Yes,26.83,Good,417100,REF-8577
18,Phoenix,Urban,1085,3,2,2021,1,Yes,2.29,Excellent,295800,REF-1240
19,New York,Rural,1944,2,1,2015,2,Yes,26.66,Fair,366100,REF-1429
20,Houston,Urban,2173,5,2,1955,3,No,21.6,Fair,409000,REF-8135
21,Los Angeles,Urban,2081,3,3,1980,1,Yes,1.58,Good,445700,REF-3719
22,Phoenix,Suburb,2622,2,3,1959,3,No,13.16,Good,470800,REF-5109
23,Houston,Rural,1842,3,3,1970,3,Yes,22.76,Good,349700,REF-1384
24,New York,Suburb,3397,1,1,2023,3,No,17.7,Fair,589200,REF-6566
25,New York,Suburb,2500,4,2,1972,2,No,28.11,Fair,457800,REF-8733
26,Chicago,Rural,2493,2,2,1952,0,No,26.1,Excellent,415800,REF-9558
27,Chicago,Rural,2238,5,2,1981,0,No,10.31,Poor,485800,REF-4478
28,Los Angeles,Downtown,2624,1,1,1969,3,Yes,3,Poor,440300,REF-1186
29,Houston,Downtown,3160,2,1,2023,2,No,28.36,Good,540400,REF-1404
30,Houston,Urban,1806,1,1,1978,1,Yes,15.76,Excellent,317000,REF-6782
31,Chicago,Rural,1974,5,1,2001,3,No,2.69,Good,442400,REF-9322
32,Houston,Downtown,2257,2,3,1995,1,No,24.59,Excellent,423900,REF-5431
33,Houston,Urban,1423,5,1,1983,1,No,26.12,Fair,324300,REF-6767
34,New York,Urban,1845,3,1,2010,2,Yes,19.36,Fair,368000,REF-4718
35,Chicago,Urban,2119,5,1,2021,2,No,13.7,Fair,441400,REF-6420
36,Phoenix,Downtown,3200,3,2,2020,0,Yes,20.03,Excellent,576600,REF-1448
37,Chicago,Rural,2710,2,2,2019,0,Yes,21.35,Good,488400,REF-4232
38,Phoenix,Suburb,2655,3,2,1960,2,Yes,26.84,Poor,456400,REF-1655
39,New York,Urban,3181,2,3,2012,3,No,28.7,Good,537600,REF-9111
40,Los Angeles,Downtown,2390,2,3,1970,0,No,15.67,Fair,430900,REF-2606
41,Houston,Downtown,2812,4,1,1952,1,No,24.06,Good,488000,REF-8538
42,New York,Suburb,2417,2,2,1959,3,No,28.95,Excellent,369500,REF-3628
43,Houston,Suburb,2712,3,3,1976,1,No,4.96,Fair,528200,REF-9495
44,Los Angeles,Downtown,2034,4,2,1961,2,No,1.04,Fair,442000,REF-7435
